set,cardNumber,name,category,bucket,capabilities,unmappedOps,reasons,effectText
OP03,OP03-036,Out-of-the-Bag,event,expressible,rest+ko,,,[Main] You may rest 1 of your {East Blue} type Characters: Set up to 1 of your [Kuro] cards as active. [Trigger] K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.
OP03,OP03-040,Nami,leader,defer,trashFromHand,,replacement-effect+custom-trigger,"When your deck is reduced to 0, you win the game instead of losing, according to the rules.[DON!! x1] When this Leader's attack deals damage to your opponent's Life, you may trash 1 card from the top of your deck."
OP03,OP03-041,Usopp,character,expressible,addKeyword+trashFromHand,,,"[Rush] (This card can attack on the turn in which it is played.)[DON!! x1] When this Character's attack deals damage to your opponent's Life, you may trash 7 cards from the top of your deck."
OP03,OP03-043,Gaimon,character,expressible,trashFromHand,,,"When you deal damage to your opponent's Life, you may trash 3 cards from the top of your deck. If you do, trash this Character."
OP03,OP03-047,Zeff,character,expressible,trashFromHand+moveCards,,,"[DON!! x1] When this Character's attack deals damage to your opponent's Life, you may trash 7 cards from the top of your deck. [On Play] You may return up to 1 Character with a cost of 3 or less to the owner's hand, and you may trash 2 cards from the top of your deck."
OP03,OP03-051,Bell-mère,character,expressible,trashFromHand,,,"[DON!! x1] When this Character's attack deals damage to your opponent's Life, you may trash 7 cards from the top of your deck.[On K.O.] You may trash 3 cards from the top of your deck."
OP03,OP03-070,Monkey.D.Luffy,character,expressible,addKeyword+trashFromHand,,,[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.) You may trash 1 Character card with a cost of 5 from your hand: This Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.)
OP03,OP03-076,Rob Lucci,leader,defer,trashFromHand,,custom-trigger,"[Your Turn] [Once Per Turn] You may trash 2 cards from your hand: When your opponent's Character is K.O.'d, set this Leader as active."
OP03,OP03-077,Charlotte Linlin,leader,expressible,trashFromHand+moveCards,,,"[DON!! x2] [When Attacking] ② (You may rest the specified number of DON!! cards in your cost area.) You may trash 1 card from your hand: If you have 1 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards."
OP03,OP03-083,Corgy,character,needsPrimitive,trashFromHand+searchTopDeck,unrecognized,,"[On Play] Look at 5 cards from the top of your deck and trash up to 2 cards. Then, place the rest at the bottom of your deck in any order."
OP03,OP03-090,Blueno,character,expressible,addKeyword+trashFromHand+playFromHand,,,"[DON!! x1] This Character gains [Blocker].(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On K.O.] Play up to 1 Character card with a type including ""CP"" and a cost of 4 or less from your trash rested."
OP03,OP03-091,Helmeppo,character,needsPrimitive,,unrecognized,,[On Play] Set the cost of up to 1 of your opponent's Characters with no base effect to 0 during this turn.
OP03,OP03-093,Wanze,character,expressible,ko+trashFromHand,,,"[On Play] You may trash 1 card from your hand: If your Leader's type includes ""CP"", K.O. up to 1 of your opponent's Characters with a cost of 1 or less."
OP03,OP03-094,Air Door,event,expressible,searchTopDeck+playFromHand+trashFromHand,,,"[Main] If your Leader's type includes ""CP"", look at 5 cards from the top of your deck; play up to 1 Character card with a type including ""CP"" and a cost of 5 or less. Then, trash the rest. [Trigger] Play up to 1 black Character card with a cost of 3 or less from your trash."
OP03,OP03-096,Tempest Kick Sky Slicer,event,expressible,ko+draw,,,[Main] K.O. up to 1 of your opponent's Characters with a cost of 0 or your opponent's Stages with a cost of 3 or less. [Trigger] Draw 2 cards.
OP03,OP03-098,Enies Lobby,stage,expressible,addCost+rest+playFromHand,,,"[Activate: Main] You may rest this Stage: If your Leader's type includes ""CP"", give up to 1 of your opponent's Characters -2 cost during this turn. [Trigger] Play this card."
OP03,OP03-100,Kingbaum,character,expressible,trashFromHand+playFromHand+moveCards,,,[Trigger] You may trash 1 card from the top or bottom of your Life cards: Play this card.
OP03,OP03-102,Sanji,character,expressible,moveCards,,,[DON!! x2] [When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: Add up to 1 card from the top of your deck to the top of your Life cards.
OP03,OP03-108,Charlotte Cracker,character,expressible,addPower+addKeyword+trashFromHand+playFromHand,,,"[DON!! x1] If you have less Life cards than your opponent, this Character gains [Double Attack] and +1000 power.(This card deals 2 damage.) [Trigger] You may trash 1 card from your hand: Play this card."
OP03,OP03-109,Charlotte Chiffon,character,expressible,trashFromHand+moveCards,,,[On Play] You may trash 1 card from the top or bottom of your Life cards: Add up to 1 card from the top of your deck to the top of your Life cards.
OP03,OP03-110,Charlotte Smoothie,character,expressible,addPower+trashFromHand+playFromHand,,,[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: This Character gains +2000 power during this battle. [Trigger] You may trash 1 card from your hand: Play this card.
OP03,OP03-114,Charlotte Linlin,character,expressible,moveCards+trashFromHand,,,"[On Play] If your Leader has the {Big Mom Pirates} type, add up to 1 card from the top of your deck to the top of your Life cards. Then, trash up to 1 card from the top of your opponent's Life cards."
OP03,OP03-120,Tropical Torment,event,needsPrimitive,trashFromHand+moveCards,unrecognized,,"[Main] If your opponent has 4 or more Life cards, trash up to 1 card from the top of your opponent's Life cards. [Trigger] Activate this card's [Main] effect."
OP03,OP03-121,Thunder Bolt,event,expressible,ko+trashFromHand+moveCards,,,[Main] You may trash 1 card from the top of your Life cards: K.O. up to 1 of your opponent's Characters with a cost of 5 or less. [Trigger] K.O. up to 1 of your opponent's Characters with a cost of 5 or less.
OP04,OP04-002,Igaram,character,needsPrimitive,addPower+rest+searchTopDeck,unrecognized,,"[Activate: Main] You may rest this Character and give your 1 active Leader −5000 power during this turn: Look at 5 cards from the top of your deck; reveal up to 1 {Alabasta} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
OP04,OP04-004,Karoo,character,expressible,rest+giveDon,,,[Activate: Main] You may rest this Character: Give up to 1 rested DON!! card to each of your {Alabasta} type Characters.
OP04,OP04-005,Kung Fu Jugon,character,expressible,addKeyword,,,"If you have a [Kung Fu Jugon] other than this Character, this Character gains [Blocker].(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)"
OP04,OP04-006,Koza,character,expressible,addPower,,,[When Attacking] You may give your 1 active Leader −5000 power during this turn: This Character gains +2000 power until the start of your next turn.
OP04,OP04-009,Super Spot-Billed Duck Troops,character,expressible,addPower+moveCards,,,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Return this Character to the owner's hand at the end of this turn.
OP04,OP04-011,Nami,character,needsPrimitive,addPower,unrecognized,,"[When Attacking] Reveal 1 card from the top of your deck. If the revealed card is a Character card with 6000 power or more, this Character gains +3000 power during this turn. Then, place the revealed card at the bottom of your deck."
OP04,OP04-012,Nefeltari Cobra,character,expressible,addPower,,,[Your Turn] All of your {Alabasta} type Characters other than this Character gain +1000 power.
OP04,OP04-024,Sugar,character,defer,rest,,custom-trigger,"[Opponent's Turn] [Once Per Turn] When your opponent plays a Character, if your Leader has the {Donquixote Pirates} type, rest up to 1 of your opponent's Characters. Then, rest this Character.[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less."
OP04,OP04-026,Senor Pink,character,needsPrimitive,rest,unrecognized,,"[When Attacking] ➀ (You may rest the specified number of DON!! cards in your cost area.): If your Leader has the {Donquixote Pirates} type, rest up to 1 of your opponent's Characters with a cost of 4 or less. Then, set up to 1 of your DON!! cards as active at the end of this turn."
OP04,OP04-028,Diamante,character,needsPrimitive,addKeyword,unrecognized,,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x1] [End of Your Turn] If you have 2 or more active DON!! cards, set this Character as active."
OP04,OP04-033,Machvise,character,needsPrimitive,rest,unrecognized,,"[On Play] If your Leader has the {Donquixote Pirates} type, rest up to 1 of your opponent's Characters with a cost of 5 or less. Then, set up to 1 of your DON!! cards as active at the end of this turn."
OP04,OP04-034,Lao.G,character,expressible,ko,,,"[End of Your Turn] If you have 3 or more active DON!! cards, K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less."
OP04,OP04-040,Queen,leader,defer,draw+moveCards,,replacement-effect+combined-total-gate,"[DON!! x1] [When Attacking] If you have a total of 4 or less cards in your Life area and hand, draw 1 card. If you have a Character with a cost of 8 or more, you may add up to 1 card from the top of your deck to the top of your Life cards instead of drawing 1 card."
OP04,OP04-041,Apis,character,needsPrimitive,trashFromHand+searchTopDeck,unrecognized,,"[On Play] You may trash 2 cards from your hand: Look at 5 cards from the top of your deck; reveal up to 1 {East Blue} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
OP04,OP04-042,Ipponmatsu,character,expressible,addPower+trashFromHand,,,"[On Play] Up to 1 of your <Slash> attribute Characters gains +3000 power during this turn. Then, trash 1 card from the top of your deck."
OP04,OP04-043,Ulti,character,expressible,moveCards,,,[DON!! x1] [When Attacking] Return up to 1 Character with a cost of 2 or less to the owner's hand or the bottom of their deck.
OP04,OP04-047,Ice Oni,character,defer,,unrecognized,custom-trigger,"[Your Turn] At the end of a battle in which this Character battles your opponent's Character with a cost of 5 or less, place the opponent's Character you battled with at the bottom of the owner's deck."
OP04,OP04-048,Sasaki,character,defer,,unrecognized,dynamic-scaling,"[On Play] Return all cards in your hand to your deck and shuffle your deck. Then, draw cards equal to the number you returned to your deck."
OP04,OP04-053,Page One,character,needsPrimitive,draw,unrecognized,,"[DON!! x1] [Once Per Turn] When you activate an Event, draw 1 card. Then, place 1 card from your hand at the bottom of your deck."
OP04,OP04-055,Plague Rounds,event,needsPrimitive,trashFromHand+playFromHand,unrecognized,,[Main] You may trash 1 [Ice Oni] from your hand and place 1 Character with a cost of 4 or less at the bottom of the owner's deck: Play 1 [Ice Oni] from your trash. [Trigger] Activate this card's [Main] effect.
OP04,OP04-058,Crocodile,leader,expressible,addDonFromDeck,,,"[Opponent's Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck by your effect, add up to 1 DON!! card from your DON!! deck and set it as active."
OP04,OP04-060,Crocodile,character,expressible,moveCards+draw+trashFromHand,,,"[On Play] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", add up to 1 card from the top of your deck to the top of your Life cards.[On Your Opponent's Attack] [Once Per Turn] DON!! −1: Draw 1 card and trash 1 card from your hand."
OP04,OP04-068,Yokozuna,character,expressible,addKeyword+moveCards,,,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Your Opponent's Attack] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Return up to 1 of your opponent's Characters with a cost of 2 or less to the owner's hand."
OP04,OP04-069,Mr.2.Bon.Kurei(Bentham),character,defer,playFromHand,unrecognized,dynamic-scaling,[On Your Opponent's Attack] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character's base power becomes the same as the power of your opponent's attacking Leader or Character during this turn. [Trigger] DON!! −1: Play this card.
OP04,OP04-073,Mr.13 & Ms.Friday,character,expressible,trashFromHand+addDonFromDeck+playFromHand,,,"[Activate: Main] You may trash this Character and 1 of your Characters with a type including ""Baroque Works"": Add up to 1 DON!! card from your DON!! deck and set it as active. [Trigger] Play this card."
OP04,OP04-079,Orlumbus,character,expressible,addCost+trashFromHand+ko,,,"[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −4 cost during this turn and trash 2 cards from the top of your deck. Then, K.O. 1 of your {Dressrosa} type Characters."
OP04,OP04-082,Kyros,character,defer,rest+ko+trashFromHand,,replacement-effect,"If this Character would be K.O.'d, you may rest your Leader or 1 [Corrida Coliseum] instead.[On Play] If your Leader is [Rebecca], K.O. up to 1 of your opponent's Characters with a cost of 1 or less. Then, trash 1 card from the top of your deck."
OP04,OP04-084,Stussy,character,expressible,searchTopDeck+playFromHand+trashFromHand,,,"[On Play] Look at 3 cards from the top of your deck and play up to 1 Character card with a type including ""CP"" other than [Stussy] and a cost of 2 or less. Then, trash the rest."
OP04,OP04-086,Chinjao,character,expressible,draw+trashFromHand,,,"[DON!! x1] When this Character battles and K.O.'s your opponent's Character, draw 2 cards and trash 2 cards from your hand."
OP04,OP04-088,Hajrudin,character,expressible,addCost+rest,,,[Activate: Main] You may rest your 1 Leader: Give up to 1 of your opponent's Characters −4 cost during this turn.
OP04,OP04-091,Leo,character,expressible,ko+rest+trashFromHand,,,"[On Play] You may rest your 1 Leader: If your Leader has the {Dressrosa} type, K.O. up to 1 of your opponent's Characters with a cost of 1 or less. Then, trash 2 cards from the top of your deck."
OP04,OP04-095,Barrier!!,event,expressible,addPower+trashFromHand+draw,,,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 15 or more cards in your trash, that card gains an additional +2000 power during this battle. [Trigger] Draw 2 cards and trash 1 card from your hand."
OP04,OP04-096,Corrida Coliseum,stage,needsPrimitive,,unrecognized,attack-restriction,"If your Leader has the {Dressrosa} type, your {Dressrosa} type Characters can attack Characters on the turn in which they are played."
OP04,OP04-098,Toko,character,expressible,trashFromHand+moveCards,,,"[On Play] You may trash 2 {Land of Wano} type cards from your hand: If you have 1 or less Life cards, add 1 card from the top of your deck to the top of your Life cards."
OP04,OP04-099,Olin,character,needsPrimitive,playFromHand,unrecognized,,"Also treat this card's name as [Charlotte Linlin] according to the rules. [Trigger] If you have 1 or less Life cards, play this card."
OP04,OP04-102,Kin'emon,character,needsPrimitive,,unrecognized,,[Activate: Main] [Once Per Turn] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may add 1 card from the top or bottom of your Life cards to your hand: Set this Character as active.
OP04,OP04-106,Charlotte Bavarois,character,expressible,addPower+trashFromHand+playFromHand,,,"[DON!! x1] If you have less Life cards than your opponent, this Character gains +1000 power. [Trigger] You may trash 1 card from your hand: Play this card."
OP04,OP04-111,Hera,character,expressible,rest+trashFromHand+playFromHand,,,[Activate: Main] You may trash 1 of your {Homies} type Characters other than this Character and rest this Character: Set up to 1 of your [Charlotte Linlin] Characters as active. [Trigger] Play this card.
OP04,OP04-112,Yamato,character,expressible,ko+moveCards,,,"[On Play] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the total of your and your opponent's Life cards. Then, if you have 1 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards."
OP04,OP04-118,Nefeltari Vivi,character,expressible,addKeyword,,,All of your red Characters with a cost of 3 or more other than this Character gain [Rush].(This card can attack on the turn in which it is played.)
OP04,OP04-119,Donquixote Rosinante,character,needsPrimitive,rest+playFromHand,unrecognized,negate-effect,"[Opponent's Turn] If this Character is rested, your active Characters with a base cost of 5 cannot be K.O.'d by effects.[On Play] You may rest this Character: Play up to 1 green Character card with a cost of 5 from your hand."
OP05,OP05-001,Sabo,leader,defer,addPower,,replacement-effect,"[DON!! x1] [Opponent's Turn] [Once Per Turn] If your Character with 5000 power or more would be K.O.'d, you may give that Character −1000 power during this turn instead of that Character being K.O.'d."
OP05,OP05-002,Belo Betty,leader,expressible,trashFromHand+addPower,,,[Activate: Main] [Once Per Turn] You may trash 1 {Revolutionary Army} type card from your hand: Up to 3 of your {Revolutionary Army} type Characters or Characters with a [Trigger] gain +3000 power during this turn.
OP05,OP05-003,Inazuma,character,expressible,addKeyword,,,"If you have a Character with 7000 power or more other than this Character, this Character gains [Rush].(This card can attack on the turn in which it is played.)"
OP05,OP05-004,Emporio.Ivankov,character,needsPrimitive,playFromHand,,self-power-gate,"[Activate: Main] [Once Per Turn] If this Character has 7000 power or more, play up to 1 {Revolutionary Army} type Character card with 5000 power or less other than [Emporio.Ivankov] from your hand."
OP05,OP05-007,Sabo,character,needsPrimitive,ko,,combined-total-gate,[On Play] K.O. up to 2 of your opponent's Characters with a total power of 4000 or less.
OP05,OP05-009,Toh-Toh,character,expressible,draw,,,[On Play] Draw 1 card if your Leader has 0 power or less.
OP05,OP05-016,Morley,character,needsPrimitive,trashFromHand+playFromHand,unrecognized,negate-effect+self-power-gate,"[When Attacking] If this Character has 7000 power or more, your opponent cannot activate [Blocker] during this battle. [Trigger] You may trash 1 card from your hand: If your Leader is multicolored, play this card."
OP05,OP05-017,Lindbergh,character,needsPrimitive,ko+trashFromHand+playFromHand,,self-power-gate,"[When Attacking] If this Character has 7000 power or more, K.O. up to 1 of your opponent's Characters with 3000 power or less. [Trigger] You may trash 1 card from your hand: If your Leader is multicolored, play this card."
OP05,OP05-022,Donquixote Rosinante,leader,needsPrimitive,addKeyword,unrecognized,,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[End of Your Turn] If you have 6 or less cards in your hand, set this Leader as active."
OP05,OP05-026,Sarquiss,character,expressible,rest,,,[DON!! x1] [When Attacking] [Once Per Turn] You may rest 1 of your Characters with a cost of 3 or more: Set this Character as active.
OP05,OP05-030,Donquixote Rosinante,character,defer,addKeyword+trashFromHand,,replacement-effect,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Opponent's Turn] If your rested Character would be K.O.'d, you may trash this Character instead."
OP05,OP05-032,Pica,character,defer,rest,,replacement-effect,"[End of Your Turn] ①: Set this Character as active.[Once Per Turn] If this Character would be K.O.'d, you may rest 1 of your Characters with a cost of 3 or more other than [Pica] instead."
OP05,OP05-040,Birdcage,stage,needsPrimitive,ko+trashFromHand,unrecognized,,"If your Leader is [Donquixote Doflamingo], all Characters with a cost of 5 or less do not become active in your and your opponent's Refresh Phases.[End of Your Turn] If you have 10 DON!! cards on your field, K.O. all rested Characters with a cost of 5 or less. Then, trash this Stage."
OP05,OP05-043,Ulti,character,needsPrimitive,searchTopDeck,unrecognized,,"[On Play] If your Leader is multicolored, look at 3 cards from the top of your deck and add up to 1 card to your hand. Then, place the rest at the top or bottom of the deck in any order."
OP05,OP05-053,Mozambia,character,expressible,draw+addPower,,,"[Your Turn] [Once Per Turn] When you draw a card outside of your Draw Phase, this Character gains +2000 power during this turn."
OP05,OP05-056,X.Barrels,character,expressible,draw,,,[On Play] You may place 1 of your Characters other than this Character at the bottom of your deck: Draw 1 card.
OP05,OP05-058,It's a Waste of Human Life!!,event,needsPrimitive,trashFromHand,unrecognized,,"[Main] Place all Characters with a cost of 3 or less at the bottom of the owner's deck. Then, you and your opponent trash cards from your hands until you each have 5 cards in your hands. [Trigger] Place all Characters with a cost of 2 or less at the bottom of the owner's deck."
OP05,OP05-060,Monkey.D.Luffy,leader,expressible,addDonFromDeck,,,"[Activate: Main] [Once Per Turn] You may add 1 card from the top of your Life cards to your hand: If you have 0 or 3 or more DON!! cards on your field, add up to 1 DON!! card from your DON!! deck and set it as active."
OP05,OP05-068,Chopa-Emon,character,needsPrimitive,,unrecognized,,"[On Play] If you have 8 or more DON!! cards on your field, set up to 1 of your purple {Straw Hat Crew} type Characters with 6000 power or less as active."
OP05,OP05-074,"Eustass""Captain""Kid",character,expressible,addKeyword+addDonFromDeck,,,"[Blocker][Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, add up to 1 DON!! card from your DON!! deck and set it as active."
OP05,OP05-079,Viola,character,expressible,trashFromHand,,,[On Play] Your opponent places 3 cards from their trash at the bottom of their deck in any order.
OP05,OP05-080,Elizabello II,character,expressible,addKeyword+trashFromHand,,,[When Attacking] [Once Per Turn] You may return 20 cards from your trash to your deck and shuffle it: This Character gains [Double Attack] and +10000 power during this battle.(This card deals 2 damage.)
OP05,OP05-082,Shirahoshi,character,expressible,rest+trashFromHand,,,"[Activate: Main] You may rest this Character and place 2 cards from your trash at the bottom of your deck in any order: If your opponent has 6 or more cards in their hand, your opponent trashes 1 card from their hand."
OP05,OP05-084,Saint Charlos,character,expressible,addCost,,,"[Your Turn] If the only Characters on your field are {Celestial Dragons} type Characters, give all of your opponent's Characters −4 cost."
OP05,OP05-087,Hakuba,character,expressible,addCost+ko,,,[DON!! x1] [When Attacking] You may K.O. 1 of your Characters other than this Character: Give up to 1 of your opponent's Characters −5 cost during this turn.
OP05,OP05-088,Mansherry,character,expressible,rest+trashFromHand,,,[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character and place 2 cards from your trash at the bottom of your deck in any order: Add up to 1 black Character card with a cost of 3 to 5 from your trash to your hand.
OP05,OP05-089,Saint Mjosgard,character,expressible,rest+trashFromHand,,,[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character and 1 of your Characters: Add up to 1 black Character card with a cost of 1 from your trash to your hand.
OP05,OP05-091,Rebecca,character,expressible,addKeyword+trashFromHand+playFromHand,,,"[Blocker][On Play] Add up to 1 black Character card with a cost of 3 to 7 other than [Rebecca] from your trash to your hand. Then, play up to 1 black Character card with a cost of 3 or less from your hand rested."
OP05,OP05-092,Saint Rosward,character,expressible,addCost,,,"[Your Turn] If the only Characters on your field are {Celestial Dragons} type Characters, give all of your opponent's Characters −6 cost."
OP05,OP05-093,Rob Lucci,character,expressible,ko+trashFromHand,,,[On Play] You may place 3 cards from your trash at the bottom of your deck in any order: K.O. up to 1 of your opponent's Characters with a cost of 2 or less and up to 1 of your opponent's Characters with a cost of 1 or less.
OP05,OP05-096,I Bid 500 Million!!,event,expressible,draw+ko+moveCards,,,"[Main] Choose one:• K.O. up to 1 of your opponent's Characters with a cost of 1 or less.• Return up to 1 of your opponent's Characters with a cost of 1 or less to the owner's hand.• Place up to 1 of your opponent's Characters with a cost of 1 or less at the top or bottom of their Life cards face-up.Then, if you have a {Celestial Dragons} type Character, draw 1 card. [Trigger] K.O. up to 1 of your opponent's Characters with a cost of 6 or less, or return it to the owner's hand."
OP05,OP05-097,Mary Geoise,stage,needsPrimitive,,unrecognized,,[Your Turn] The cost of playing {Celestial Dragons} type Character cards with a cost of 2 or more from your hand will be reduced by 1.
OP05,OP05-098,Enel,leader,defer,moveCards+trashFromHand,,custom-trigger,"[Opponent's Turn] [Once Per Turn] When your number of Life cards becomes 0, add 1 card from the top of your deck to the top of your Life cards. Then, trash 1 card from your hand."
OP05,OP05-099,Amazon,character,expressible,rest+trashFromHand+moveCards+addPower,,,"[On Your Opponent's Attack] You may rest this Character: Your opponent may trash 1 card from the top of their Life cards. If they do not, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn."
OP05,OP05-100,Enel,character,defer,addKeyword+trashFromHand+moveCards,unrecognized,replacement-effect,"[Rush][Once Per Turn] If this Character would leave the field, you may trash 1 card from the top of your Life cards instead. If there is a [Monkey.D.Luffy] Character, this effect is negated."
OP05,OP05-102,Gedatsu,character,expressible,ko,,,[On Play] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards.
OP05,OP05-103,Kotori,character,expressible,ko,,,"[On Play] If you have [Hotori], K.O. up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards."
OP05,OP05-104,Conis,character,expressible,draw+trashFromHand,,,[On Play] You may place 1 of your Stages at the bottom of your deck: Draw 1 card and trash 1 card from your hand.
OP05,OP05-107,Lieutenant Spacey,character,expressible,addPower,,,"[Your Turn] [Once Per Turn] When a card is added to your hand from your Life, this Character gains +2000 power during this turn."
OP05,OP05-109,Pagaya,character,needsPrimitive,draw+trashFromHand,unrecognized,,"[Once Per Turn] When a [Trigger] activates, draw 2 cards and trash 2 cards from your hand."
OP05,OP05-111,Hotori,character,expressible,playFromHand,,,[On Play] You may play 1 [Kotori] from your hand: Add up to 1 of your opponent's Characters with a cost of 3 or less to the top or bottom of your opponent's Life cards face-up.
OP05,OP05-114,El Thor,event,expressible,addPower+ko,,,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if your opponent has 2 or less Life cards, that card gains an additional +2000 power during this battle. [Trigger] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards."
OP05,OP05-116,Hino Bird Zap,event,needsPrimitive,ko,unrecognized,,[Main] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards. [Trigger] Activate this card's [Main] effect.
OP05,OP05-119,Monkey.D.Luffy,character,defer,addDonFromDeck,unrecognized,extra-turn,"[On Play] DON!! −10: Place all of your Characters except this Character at the bottom of your deck in any order. Then, take an extra turn after this one.[Activate: Main] [Once Per Turn] ➀: Add up to 1 DON!! card from your DON!! deck and set it as active."
OP06,OP06-001,Uta,leader,expressible,addPower+trashFromHand+rest+addDonFromDeck,,,"[When Attacking] You may trash 1 {FILM} type card from your hand: Give up to 1 of your opponent's Characters −2000 power during this turn. Then, add up to 1 DON!! card from your DON!! deck and rest it."
OP06,OP06-002,Inazuma,character,defer,addKeyword,,custom-trigger+self-power-gate,"If this Character has 7000 power or more, this Character gains [Banish].(When this card deals damage, the target card is trashed without activating its Trigger.)"
OP06,OP06-003,Emporio.Ivankov,character,needsPrimitive,searchTopDeck+playFromHand,unrecognized,,"[On Play] Look at 3 cards from the top of your deck and play up to 1 {Revolutionary Army} type Character card with 5000 power or less. Then, place the rest at the bottom of your deck in any order."
OP06,OP06-006,Saga,character,expressible,addPower+trashFromHand,,,"[DON!! x1] [When Attacking] This Character gains +1000 power until the start of your next turn. Then, trash 1 of your {FILM} type Characters at the end of this turn."
OP06,OP06-009,Shuraiya,character,needsPrimitive,addKeyword,unrecognized,,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[When Attacking]/[On Block] [Once Per Turn] This Character becomes the same power as your opponent's Leader until the start of your next turn."
OP06,OP06-011,Tot Musica,character,expressible,addPower+rest,,,[Activate: Main] [Once Per Turn] You may rest 1 of your [Uta] cards: This Character gains +5000 power during this turn.
OP06,OP06-014,Ratchet,character,expressible,trashFromHand+addPower,,,[On Your Opponent's Attack] You may trash any number of {FILM} type cards from your hand. Your Leader or 1 of your Characters gains +1000 power during this battle for every card trashed.
OP06,OP06-015,Lily Carnation,character,expressible,trashFromHand+playFromHand,,,[Activate: Main] [Once Per Turn] You may trash 1 of your Characters with 6000 power or more: Play up to 1 {FILM} type Character card with 2000 to 5000 power from your trash rested.
OP06,OP06-016,Raise Max,character,expressible,addPower,,,[Activate: Main] You may place this Character at the bottom of the owner's deck: Give up to 1 of your opponent's Characters −3000 power during this turn.
OP06,OP06-018,Gum-Gum King Kong Gatling,event,expressible,addPower+ko,,,"[Main] Up to 1 of your Leader or Character cards gains +3000 power during this turn. Then, if your opponent has a Character with 7000 power or more, up to 1 of your Leader or Character cards gains +1000 power during this turn. [Trigger] K.O. up to 1 of your opponent's Characters with 5000 power or less."
OP06,OP06-020,Hody Jones,leader,needsPrimitive,rest,unrecognized,mixed-don-or-char-target,"[Activate: Main] You may rest this Leader: Rest up to 1 of your opponent's DON!! cards or Characters with a cost of 3 or less. Then, you cannot add Life cards to your hand using your own effects during this turn."
OP06,OP06-021,Perona,leader,expressible,addCost+rest,,,[Activate: Main] [Once Per Turn] Choose one:• Rest up to 1 of your opponent's Characters with a cost of 4 or less.• Give up to 1 of your opponent's Characters −1 cost during this turn.
OP06,OP06-023,Arlong,character,needsPrimitive,trashFromHand+rest,,attack-restriction,[On Play] You may trash 1 card from your hand: Up to 1 of your opponent's rested Leader cannot attack until the end of your opponent's next turn. [Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.
OP06,OP06-026,Koushirou,character,needsPrimitive,,unrecognized,attack-restriction,"[On Play] Set up to 1 of your <Slash> attribute Characters with a cost of 4 or less as active. Then, you cannot attack a Leader during this turn."
OP06,OP06-033,Vander Decken IX,character,expressible,ko+trashFromHand,,,[On Play] You may trash 1 {Fish-Man} type card from your hand or 1 [The Ark Noah] from your hand or field: K.O. up to 1 of your opponent's rested Characters.
OP06,OP06-035,Hody Jones,character,needsPrimitive,addKeyword,unrecognized,combined-total-gate,"[Rush] (This card can attack on the turn in which it is played.)[On Play] Rest up to a total of 2 of your opponent's Characters or DON!! cards. Then, add 1 card from the top of your Life cards to your hand."
