set,cardNumber,name,category,timings,detectedOps,optional,conditional,parserReview,effectText
EB04,EB04-009,It's My Student's Farewell. I Want It to Be Proper.,event,activateMain|counter,modifyPower,yes,,,[Main] You may give 1 active DON!! card to 1 of your [Silvers Rayleigh]: Give up to 1 of your opponent's Characters −2000 power during this turn.[Counter] Up to 1 of your Characters or [Silvers Rayleigh] gains +2000 power during this battle.
EB04,EB04-010,Lulucia Kingdom,stage,custom|onPlay,modifyPower,,,yes,[Opponent's Turn] All of your Characters with a base cost of 1 gain +5000 power.[On Play] Set the power of up to 1 of your opponent's Characters to 0 during this turn.
EB04,EB04-011,Scaled Neptunian,character,onPlay,draw+trash,,,yes,"[Rush: Character] (This card can attack Characters on the turn in which it is played.)[On Play] Draw a card for each of your {Neptunian} type Characters. Then, trash the same number of cards from your hand."
EB04,EB04-012,Kikunojo,character,activateMain,(none),,,yes,"[Activate: Main] [Once Per Turn] If this Character was played on this turn, set your {Land of Wano} type Leader as active."
EB04,EB04-013,Carrot,character,onPlay,(none),,,yes,"[On Play] If your Leader has the {Minks} type, set up to 2 of your {Minks} type Characters and your Leader as active."
EB04,EB04-014,Kozuki Sukiyaki,character,activateMain,giveDon,,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your {Land of Wano} type Leader."
EB04,EB04-015,Jinbe,character,onKO,grantKeyword+rest+playCard,yes,yes,yes,"[Blocker][On K.O.] You may rest 1 of your cards: If your Leader has the {Fish-Man} or {Merfolk} type, play up to 1 green Character card with a cost of 6 or less from your hand."
EB04,EB04-016,Bird Neptunian,character,activateMain|whenAttacking,rest,,yes,yes,"[Activate: Main] Set up to 1 of your DON!! cards as active. Then, you cannot set DON!! cards as active using Character effects during this turn.[When Attacking] If you have 3 or more {Neptunian} type Characters, rest up to 1 of your opponent's Characters with a cost of 8 or less."
EB04,EB04-017,Mystoms,character,custom|onPlay,modifyCost+playCard,,yes,yes,"[Your Turn] If you have 3 or more {Minks} type Characters, give all of your opponent's Characters −1 cost.[On Play] If your Leader has the {Minks} type, play up to 1 {Minks} type Character card with a cost of 5 or less from your hand."
EB04,EB04-018,Megalo,character,onPlay,ko+rest,yes,,yes,[On Play] You may rest this Character: K.O. up to 1 of your opponent's rested Characters with 8000 power or less.
EB04,EB04-019,Eleclaw,event,activateMain|counter,modifyCost+rest+modifyPower,yes,yes,yes,"[Main] You may rest 1 of your cards: If your Leader has the {Minks} type, give up to 1 of your opponent's Characters −3 cost during this turn.[Counter] Up to 1 of your {Minks} type Leader or Character cards gains +3000 power during this battle."
EB04,EB04-020,Shark Brick Fist,event,counter|custom,modifyPower+rest,,,yes,"[Counter] Up to 1 of your {Fish-Man} type Leader or Character cards gains +3000 power during this battle. Then, set up to 1 of your {Fish-Man} type Characters as active. [Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less."
EB04,EB04-021,Igaram,character,onPlay|activateMain,draw+trash+giveDon,yes,yes,yes,"[On Play] If your Leader is [Nefeltari Vivi], draw 2 cards and trash 1 card from your hand.[Activate: Main] [Once Per Turn] You may trash 1 card from your hand: Give up to 1 rested DON!! card to your Leader or 1 of your Characters."
EB04,EB04-022,Issho,character,onPlay|whenAttacking,trash+modifyPower,yes,yes,yes,"[On Play] You may trash 2 cards from your hand: If your opponent has 6 or more cards in their hand, your opponent places 2 cards from their hand at the bottom of their deck in any order.[DON!! x1] [When Attacking] You may trash 1 card from your hand: Give up to 1 of your opponent's Characters −2000 power during this turn."
EB04,EB04-023,Chaka & Pell,character,onPlay,draw+modifyPower,yes,,yes,[Double Attack] (This card deals 2 damage.)[On Play] You may give your active Leader −5000 power during this turn: Draw 2 cards.
EB04,EB04-024,Terracotta,character,activateMain,grantKeyword+rest+trash,yes,,yes,[Activate: Main] You may rest this Character and trash 1 card from your hand: Up to 1 of your {Alabasta} type Characters gains [Unblockable] during this turn.(This card cannot be blocked.)
EB04,EB04-025,Nefeltari Vivi,character,onPlay,playCard,,,yes,"[On Play] Play up to 1 {Alabasta} type Character card with a cost of 8 or less other than [Nefeltari Vivi] from your hand. Then, your opponent places 1 card from their hand at the bottom of their deck."
EB04,EB04-026,Bluegrass,character,onPlay|whenAttacking,draw+trash,,,yes,[On Play] Place up to 1 of your opponent's Characters with a cost of 1 or less at the bottom of the owner's deck.[When Attacking] Draw 1 card and trash 1 card from your hand.
EB04,EB04-027,Boa Hancock,character,onPlay|custom,draw+trash+playCard,,,yes,[On Play] Draw 2 cards and trash 1 card from your hand. [Trigger] Play up to 1 Character card with 5000 power or less and a [Trigger] from your hand.
EB04,EB04-028,Ice Time,event,activateMain|custom,trash+returnToHand,yes,yes,yes,"[Main] You may trash 1 card from your hand: If your Leader has the {Navy} type, up to 2 of your opponent's Characters with 10000 power or less cannot attack until the end of your opponent's next End Phase. [Trigger] Return up to 1 Character with a cost of 5 or less to the owner's hand."
EB04,EB04-029,I Heard the Sound...of a Lady's Teardrops Falling,event,activateMain|counter,lookTopDeck+trash+modifyPower,yes,yes,yes,"[Main] If your Leader is [Sanji], look at 3 cards from the top of your deck; reveal up to 1 [Sanji] or Event card and add it to your hand. Then, trash the rest.[Counter] You may trash 1 card from your hand: Up to 1 of your [Sanji] cards gains +4000 power during this battle."
EB04,EB04-030,Kaido,character,custom|onPlay,grantKeyword+rest,,yes,yes,"If this Character would be K.O.'d, you may return 1 DON!! card from your field to your DON!! deck instead.[On Play] DON!! −2: If your Leader has the {Animal Kingdom Pirates} type, this Character gains [Rush] during this turn. Then, rest up to 1 of your opponent's Characters with a cost of 7 or less."
EB04,EB04-031,King,character,custom|activateMain,rest+donFromDeck,,yes,yes,"If this Character would be K.O.'d, you may return 1 DON!! card from your field to your DON!! deck instead.[Activate: Main] [Once Per Turn] If your Leader has the {Animal Kingdom Pirates} type and you have no other [King] Characters, add up to 1 DON!! card from your DON!! deck and set it as active, and add up to 1 additional DON!! card and rest it."
EB04,EB04-032,Queen,character,onPlay|activateMain,draw+trash+rest+donFromDeck,yes,yes,yes,"[On Play] You may trash 1 {Animal Kingdom Pirates} type card from your hand: Draw 2 cards.[Activate: Main] [Once Per Turn] You may rest 2 of your DON!! cards: If your Leader has the {Animal Kingdom Pirates} type, add up to 1 DON!! card from your DON!! deck and rest it."
EB04,EB04-033,Groggy Monsters,character,onPlay,ko,,yes,yes,"[On Play] DON!! −1: If you have 3 or more {Foxy Pirates} type Characters, K.O. up to 1 of your opponent's Characters with 6000 base power or less."
EB04,EB04-034,Charlotte Pudding,character,onOpponentsAttack,grantKeyword+modifyPower+trash,yes,yes,yes,"[Blocker][On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If you have 4 or more Events in your trash, up to 1 of your Leader or Character cards gains +2000 power during this battle."
EB04,EB04-035,Hitokiri Kamazo,character,custom,grantKeyword+rest+donFromDeck,,yes,yes,"[Blocker][Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, if your Leader has the {Kid Pirates} type, add up to 1 DON!! card from your DON!! deck and rest it."
EB04,EB04-036,Foxy,character,onPlay|activateMain,draw+trash+rest+donFromDeck,,yes,yes,"[On Play] DON!! −1: If your Leader has the {Foxy Pirates} type, draw 2 cards and trash 1 card from your hand. Then, rest up to 1 of your opponent's Characters with a cost of 9 or less.[Activate: Main] [Once Per Turn] Add up to 1 DON!! card from your DON!! deck and rest it."
EB04,EB04-037,Porche,character,onPlay,lookTopDeck,,yes,yes,"[On Play] If your Leader has the {Foxy Pirates} type, look at 5 cards from the top of your deck; reveal up to 1 {Foxy Pirates} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
EB04,EB04-038,Rosinante & Law,character,custom|onPlay,draw+donFromDeck,,yes,yes,"Under the rules of this game, also treat this card's name as [Trafalgar Law] and [Donquixote Rosinante].[Blocker][On Play] If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, draw 1 card. Then, add up to 1 DON!! card from your DON!! deck and set it as active."
EB04,EB04-039,"Eustass""Captain""Kid",character,onPlay|activateMain,donFromDeck+trash+playCard,yes,,yes,[On Play] Add up to 1 DON!! card from your DON!! deck and set it as active.[Activate: Main] You may trash this Character: Play up to 1 {Kid Pirates} type Character card with a cost of 5 or less from your hand.
EB04,EB04-040,Flame Dragon Torch,event,activateMain|counter,modifyPower+rest,yes,,yes,"[Main] You may rest 6 of your DON!! cards: Up to 1 of your [Kaido] cards gains +3000 power during this turn. Then, rest up to 1 of your opponent's Characters.[Counter] DON!! −1: Your Leader gains +4000 power during this battle."
EB04,EB04-041,Stealth Black,event,activateMain|custom,trash+playCard+draw,,yes,yes,"[Main] If your Leader is [Sanji] and you have 4 or more DON!! cards on your field, play up to 1 [Sanji] with 6000 power or less from your hand or trash. [Trigger] Draw 2 cards and trash 1 card from your hand."
EB04,EB04-042,Alpha,character,onPlay,modifyCost+trash,yes,,yes,[On Play] You may trash 3 cards from the top of your deck: Give up to 1 of your opponent's Characters −1 cost during this turn.
EB04,EB04-043,Kaku,character,custom|onPlay,trash,yes,yes,yes,"[Once Per Turn] If your black Character with a base cost of 5 or less would be K.O.'d by your opponent's effect, you may place 3 cards from your trash at the bottom of your deck in any order instead.[On Play] Trash 2 cards from the top of your deck."
EB04,EB04-044,Koby,character,custom,draw+trash,yes,yes,yes,"[Once Per Turn] If your Leader's type includes ""Navy"" and this Character would be removed from the field, you may trash 1 card from your hand instead.[Your Turn] [Once Per Turn] When your opponent's Character is K.O.'d, draw 1 card."
EB04,EB04-045,Ginny,character,activateMain,modifyPower+rest,yes,yes,yes,"[Activate: Main] You may rest this Character: If there are 2 or more Characters with a cost of 8 or more, up to 1 of your {Revolutionary Army} type Leader or Character cards gains +1000 power during this turn."
EB04,EB04-046,Doll,character,custom,grantKeyword+modifyCost,,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Opponent's Turn] All of your {Navy} type Characters gain +2 cost."
EB04,EB04-047,Helmeppo,character,activateMain,trash+playCard,yes,,yes,[Activate: Main] You may trash this Character: Play up to 1 {SWORD} type Character card with a cost of 3 or less other than [Helmeppo] from your hand or trash.
EB04,EB04-048,Rob Lucci,character,custom|onPlay,modifyPower+modifyCost+trash+draw,yes,yes,yes,"If your Leader's type includes ""CP"", this Character gains +1000 power and +2 cost for every 5 cards in your trash.[On Play] You may trash 1 of your Characters: Draw 1 card."
EB04,EB04-049,Finger Pistol Yellow Lotus,event,activateMain|custom,ko+trash,yes,,yes,[Main] You may trash 2 cards from the top of your deck: K.O. up to 1 of your opponent's Characters with a base cost of 5 or less. [Trigger] Activate this card's [Main] effect.
EB04,EB04-050,I'll Whip You Into Shape. ♡,event,activateMain|counter,modifyPower,,,yes,[Main] Up to 1 of your {SWORD} type Leader or Character cards can also attack active Characters during this turn.[Counter] Your Leader gains +3000 power during this battle.
EB04,EB04-051,Emet,character,custom,modifyPower+playCard,,yes,yes,"This Character cannot attack unless there is a Character with 12000 base power or more. [Trigger] Give all of your opponent's Characters −3000 power during this turn. Then, if you have 0 Life cards, play this card."
EB04,EB04-052,Sanji,character,whenAttacking|onKO,playCard,,yes,yes,"[When Attacking] This Character's base power becomes the same as your opponent's Leader during this turn.[On K.O.] If you have 2 or less Life cards, play up to 1 yellow Character card with 6000 power or less from your hand."
EB04,EB04-053,Sentomaru,character,onBlock,draw,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Block] If you have 2 or less Life cards, draw 1 card."
EB04,EB04-054,Bartholomew Kuma,character,onPlay|onKO,lifeChange,,yes,yes,"[On Play] If you have 2 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards.[On K.O.] Add up to 1 card from the top of your opponent's Life cards to the owner's hand."
EB04,EB04-055,Bartholomew Kuma,character,onKO|custom,playCard,,yes,yes,"[On K.O.] Play up to 1 {Revolutionary Army} type Character card with a cost of 4 or less from your hand. [Trigger] If your Leader has the {Revolutionary Army} type and you and your opponent have a total of 5 or less Life cards, play this card."
EB04,EB04-058,Borsalino,character,onPlay,lifeChange,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If you have 2 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards."
EB04,EB04-059,Black Rope Dragon Twister,event,activateMain|custom,ko+draw+trash,yes,yes,yes,"[Main] You may turn 1 card from the top of your Life cards face-up: If you have less Characters than your opponent, K.O. up to 1 of your opponent's Characters with a cost of 6 or less and up to 1 of your opponent's Characters with a cost of 5 or less. [Trigger] Draw 2 cards and trash 1 card from your hand."
EB04,EB04-060,Gum-Gum Hawk Gatling,event,activateMain|custom,lifeChange+modifyPower+draw+trash,yes,,yes,"[Main] You may add 1 card from the top or bottom of your Life cards to your hand: Add up to 1 {Egghead} type Character card from your hand to the top of your Life cards face-up. Then, give up to 1 of your opponent's Characters −1000 power during this turn. [Trigger] Draw 2 cards and trash 1 card from your hand."
EB04,EB04-061,Monkey.D.Luffy,character,custom|onPlay,modifyCost+modifyPower+trash+grantKeyword,yes,yes,yes,"If you have 1 or less Life cards, give this card in your hand −1 cost.[On Play] You may trash 1 card from your hand: Your Leader gains +2000 power until the end of your opponent's next End Phase. Then, this Character gains [Blocker] until the end of your opponent's next End Phase."
OP01,OP01-001,Roronoa Zoro,leader,custom,modifyPower,,,,[DON!! x1] [Your Turn] All of your Characters gain +1000 power.
OP01,OP01-002,Trafalgar Law,leader,activateMain,returnToHand+playCard,,yes,yes,"[Activate: Main] [Once Per Turn] ➁ (You may rest the specified number of DON!! cards in your cost area.): If you have 5 Characters, return 1 of your Characters to the owner's hand. Then, play up to 1 Character with a cost of 5 or less from your hand that is a different color than the returned Character."
OP01,OP01-003,Monkey.D.Luffy,leader,activateMain,modifyPower,,,yes,[Activate: Main] [Once Per Turn] ➃ (You may rest the specified number of DON!! cards in your cost area.): Set up to 1 of your {Supernovas} or {Straw Hat Crew} type Character cards with a cost of 5 or less as active. It gains +1000 power during this turn.
OP01,OP01-004,Usopp,character,custom,draw,,,,[DON!! x1] [Your Turn] [Once Per Turn] Draw 1 card when your opponent activates an Event.
OP01,OP01-005,Uta,character,onPlay,trash,,,yes,[On Play] Add up to 1 red Character card other than [Uta] with a cost of 3 or less from your trash to your hand.
OP01,OP01-006,Otama,character,onPlay,modifyPower,,,,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.
OP01,OP01-007,Caribou,character,onKO,ko,,,yes,[On K.O.] K.O. up to 1 of your opponent's Characters with 4000 power or less.
OP01,OP01-009,Carrot,character,custom,playCard,,,yes,[Trigger] Play this card.
OP01,OP01-011,Gordon,character,onPlay,draw,yes,,,[On Play] You may place 1 card from your hand at the bottom of your deck: Draw 1 card.
OP01,OP01-013,Sanji,character,activateMain,modifyPower+giveDon,yes,,yes,"[Activate: Main] [Once Per Turn] You may add 1 card from your Life area to your hand: This Character gains +2000 power during this turn. Then, give this Character up to 2 rested DON!! cards."
OP01,OP01-014,Jinbe,character,custom|onBlock,grantKeyword+playCard,,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x1] [On Block] Play up to 1 red Character card with a cost of 2 or less from your hand."
OP01,OP01-015,Tony Tony.Chopper,character,whenAttacking,trash,yes,,yes,[DON!! x1] [When Attacking] You may trash 1 card from your hand: Add up to 1 {Straw Hat Crew} type Character card other than [Tony Tony.Chopper] with a cost of 4 or less from your trash to your hand.
OP01,OP01-017,Nico Robin,character,whenAttacking,ko,,,yes,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.
OP01,OP01-019,Bartolomeo,character,custom,grantKeyword+modifyPower,,,,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x2] [Opponent's Turn] This Character gains +3000 power."
OP01,OP01-020,Hyogoro,character,activateMain,modifyPower+rest,yes,,yes,[Activate: Main] You may rest this Character: Up to 1 of your Leader or Character cards gains +2000 power during this turn.
OP01,OP01-021,Franky,character,custom,(none),,,yes,[DON!! x1] This Character can also attack your opponent's active Characters.
OP01,OP01-022,Brook,character,whenAttacking,modifyPower,,,,[DON!! x1] [When Attacking] Give up to 2 of your opponent's Characters −2000 power during this turn.
OP01,OP01-024,Monkey.D.Luffy,character,custom|activateMain,giveDon,,,yes,[DON!! x2] This Character cannot be K.O.'d in battle by ＜Strike＞ attribute Characters. [Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.
OP01,OP01-026,Gum-Gum Fire-Fist Pistol Red Hawk,event,counter|custom,modifyPower+ko,,,yes,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, K.O. up to 1 of your opponent's Characters with 4000 power or less. [Trigger] Give up to 1 of your opponent's Leader or Character cards −10000 power during this turn."
OP01,OP01-028,Green Star Rafflesia,event,counter|custom,modifyPower,,,yes,[Counter] Give up to 1 of your opponent's Leader or Character cards −2000 power during this turn. [Trigger] Activate this card's [Counter] effect.
OP01,OP01-029,Radical Beam!!,event,counter|custom,modifyPower,,yes,yes,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power. [Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn."
OP01,OP01-030,In Two Years!! At the Sabaody Archipelago!!,event,activateMain|custom,lookTopDeck,,,yes,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
OP01,OP01-031,Kouzuki Oden,leader,activateMain,trash,,,yes,[Activate: Main] [Once Per Turn] You can trash 1 {Land of Wano} type card from your hand: Set up to 2 of your DON!! cards as active.
OP01,OP01-032,Ashura Doji,character,custom,modifyPower,,yes,yes,"[DON!! x1] If your opponent has 2 or more rested Characters, this Character gains +2000 power."
OP01,OP01-034,Inuarashi,character,whenAttacking,(none),,,yes,[DON!! x2] [When Attacking] Set up to 1 of your DON!! cards as active.
OP01,OP01-035,Okiku,character,whenAttacking,rest,,,yes,[DON!! x1] [When Attacking] [Once Per Turn] Rest up to 1 of your opponent's Characters with a cost of 5 or less.
OP01,OP01-037,Kawamatsu,character,custom,playCard,,,yes,[Trigger] Play this card.
OP01,OP01-038,Kanjuro,character,whenAttacking|onKO,ko+trash,,,yes,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's rested Characters with a cost of 2 or less. [On K.O.] Your opponent chooses 1 card from your hand; trash that card.
OP01,OP01-039,Killer,character,custom|onBlock,grantKeyword+draw,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x1] [On Block] If you have 3 or more Characters, draw 1 card."
OP01,OP01-040,Kin'emon,character,onPlay|whenAttacking,playCard,,yes,yes,"[On Play] If your Leader is [Kouzuki Oden], play up to 1 {The Akazaya Nine} type Character card with a cost of 3 or less from your hand. [DON!! x1] [When Attacking] [Once Per Turn] Set up to 1 of your {The Akazaya Nine} type Character cards with a cost of 3 or less as active."
OP01,OP01-041,Kouzuki Momonosuke,character,activateMain,rest+lookTopDeck,yes,,yes,"[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Land of Wano} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
OP01,OP01-042,Komurasaki,character,onPlay,(none),,,yes,"[On Play] ③ (You may rest the specified number of DON!! cards in your cost area.): If your Leader is [Kouzuki Oden], set up to 1 of your {Land of Wano} type Character cards with a cost of 3 or less as active."
OP01,OP01-044,Shachi,character,onPlay,playCard,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] If you don't have [Penguin], play up to 1 [Penguin] from your hand."
OP01,OP01-046,Denjiro,character,whenAttacking,(none),,,yes,"[DON!! x1] [When Attacking] If your Leader is [Kouzuki Oden], set up to 2 of your DON!! cards as active."
OP01,OP01-047,Trafalgar Law,character,onPlay,returnToHand+playCard,yes,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] You may return 1 Character to your hand: Play up to 1 Character card with a cost of 3 or less from your hand."
OP01,OP01-049,Bepo,character,whenAttacking,playCard,,,yes,[DON!! x1] [When Attacking] Play up to 1 {Heart Pirates} type Character card other than [Bepo] with a cost of 4 or less from your hand.
OP01,OP01-050,Penguin,character,onPlay,playCard,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] If you don't have [Shachi], play up to 1 [Shachi] from your hand."
OP01,OP01-051,"Eustass""Captain""Kid",character,custom|activateMain,rest+playCard,yes,,yes,"[DON!! x1] [Opponent's Turn] If this Character is rested, your opponent cannot attack any card other than the Character [Eustass""Captain""Kid]. [Activate: Main] [Once Per Turn] You may rest this Character: Play up to 1 Character card with a cost of 3 or less from your hand."
OP01,OP01-052,Raizo,character,whenAttacking,draw,,yes,yes,"[When Attacking] [Once Per Turn] If you have 2 or more rested Characters, draw 1 card."
OP01,OP01-054,X.Drake,character,onPlay,ko,,,yes,[On Play] K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less.
OP01,OP01-055,You Can Be My Samurai!!,event,activateMain,draw+rest,yes,,yes,[Main] You may rest 2 of your Characters: Draw 2 cards.
OP01,OP01-056,Demon Face,event,activateMain,ko,,,yes,[Main] K.O. up to 2 of your opponent's rested Characters with a cost of 5 or less.
OP01,OP01-057,Paradise Waterfall,event,counter|custom,modifyPower+ko,,,yes,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, set up to 1 of your Characters as active. [Trigger] K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less."
OP01,OP01-058,Punk Gibson,event,counter|custom,modifyPower+rest,,,yes,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, rest up to 1 of your opponent's Characters with a cost of 4 or less. [Trigger] Rest up to 1 of your opponent's Characters."
OP01,OP01-059,BE-BENG!!,event,activateMain,trash,yes,,yes,[Main] You may trash 1 {Land of Wano} type card from your hand: Set up to 1 of your {Land of Wano} type Character cards with a cost of 3 or less as active.
OP01,OP01-060,Donquixote Doflamingo,leader,whenAttacking,(none),,,yes,"[DON!! x2] [When Attacking] ➀ (You may rest the specified number of DON!! cards in your cost area.): Reveal 1 card from the top of your deck. If that card is a {The Seven Warlords of the Sea} type Character card with a cost of 4 or less, you may play that card rested."
OP01,OP01-061,Kaido,leader,custom,donFromDeck,,,yes,"[DON!! x1] [Your Turn] [Once Per Turn] When your opponent's Character is K.O.'d, add up to 1 DON!! card from your DON!! deck and set it as active."
OP01,OP01-062,Crocodile,leader,custom,draw,yes,yes,yes,"[DON!! x1] When you activate an Event, you may draw 1 card if you have 4 or less cards in your hand and haven't drawn a card using this Leader's effect during this turn."
OP01,OP01-063,Arlong,character,activateMain,rest,yes,,yes,"[DON!! x1] [Activate: Main] You may rest this Character: Choose 1 card from your opponent's hand; your opponent reveals that card. If the revealed card is an Event, place up to 1 card from your opponent's Life area at the bottom of the owner's deck."
OP01,OP01-064,Alvida,character,whenAttacking,trash+returnToHand,yes,,yes,[DON!! x1] [When Attacking] You may trash 1 card from your hand: Return up to 1 of your opponent's Characters with a cost of 3 or less to the owner's hand.
OP01,OP01-067,Crocodile,character,custom,grantKeyword+modifyCost,,,yes,"[Banish] (When this card deals damage, the target card is trashed without activating its Trigger.) [DON!! x1] Give blue Events in your hand −1 cost."
OP01,OP01-069,Caesar Clown,character,onKO,playCard,,,yes,"[On K.O.] Play up to 1 [Smiley] from your deck, then shuffle your deck."
OP01,OP01-070,Dracule Mihawk,character,onPlay,(none),,,yes,[On Play] Place up to 1 Character with a cost of 7 or less at the bottom of the owner's deck.
OP01,OP01-071,Jinbe,character,onPlay|custom,playCard,,,yes,[On Play] Place up to 1 Character with a cost of 3 or less at the bottom of the owner's deck. [Trigger] Play this card.
OP01,OP01-072,Smiley,character,custom,modifyPower,,,,[DON!! x1] [Your Turn] This Character gains +1000 power for every card in your hand.
OP01,OP01-073,Donquixote Doflamingo,character,onPlay,lookTopDeck,,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] Look at 5 cards from the top of your deck and place them at the top or bottom of the deck in any order."
OP01,OP01-074,Bartholomew Kuma,character,onKO,playCard,,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On K.O.] Play up to 1 [Pacifista] with a cost of 4 or less from your hand."
OP01,OP01-075,Pacifista,character,custom,(none),,,yes,"Under the rules of this game, you may have any number of this card in your deck. [Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)"
OP01,OP01-077,Perona,character,onPlay,lookTopDeck,,,yes,[On Play] Look at 5 cards from the top of your deck and place them at the top or bottom of the deck in any order.
OP01,OP01-078,Boa Hancock,character,custom|whenAttacking|onBlock,grantKeyword+draw,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x1] [When Attacking]/[On Block] Draw 1 card if you have 5 or less cards in your hand."
OP01,OP01-079,Ms. All Sunday,character,onKO,trash,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On K.O.] If your Leader has the {Baroque Works} type, add up to 1 Event from your trash to your hand."
OP01,OP01-082,Monet,character,custom,playCard,,,yes,[Trigger] Play this card.
OP01,OP01-083,Mr.1(Daz.Bonez),character,custom,modifyPower+trash,,yes,yes,"[DON!! x1] [Your Turn] If your Leader has the {Baroque Works} type, this Character gains +1000 power for every 2 Events in your trash."
OP01,OP01-084,Mr.2.Bon.Kurei(Bentham),character,whenAttacking,lookTopDeck,,,yes,"[DON!! x1] [When Attacking] Look at 5 cards from the top of your deck; reveal up to 1 {Baroque Works} type Event card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
OP01,OP01-085,Mr.3(Galdino),character,onPlay,(none),,,yes,"[On Play] If your Leader has the {Baroque Works} type, select up to 1 of your opponent's Characters with a cost of 4 or less. The selected Character cannot attack until the end of your opponent's next turn."
OP01,OP01-086,Overheat,event,counter|custom,modifyPower+returnToHand,,,yes,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, return up to 1 active Character with a cost of 3 or less to the owner's hand. [Trigger] Return up to 1 Character with a cost of 4 or less to the owner's hand."
OP01,OP01-087,Officer Agents,event,counter|custom,playCard,,,yes,[Counter] Play up to 1 {Baroque Works} type Character card with a cost of 3 or less from your hand. [Trigger] Activate this card's [Counter] effect.
OP01,OP01-088,Desert Spada,event,counter|custom,modifyPower+lookTopDeck+draw+trash,,,yes,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, look at 3 cards from the top of your deck and place them at the top or bottom of the deck in any order. [Trigger] Draw 2 cards and trash 1 card from your hand."
OP01,OP01-089,Crescent Cutlass,event,counter,returnToHand,,yes,yes,"[Counter] If your Leader has the {The Seven Warlords of the Sea} type, return up to 1 Character with a cost of 5 or less to the owner's hand."
OP01,OP01-090,Baroque Works,event,activateMain,lookTopDeck,,,yes,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 {Baroque Works} type card other than [Baroque Works] and add it to your hand. Then, place the rest at the bottom of your deck in any order."
OP01,OP01-091,King,leader,custom,modifyPower,,yes,yes,"[Your Turn] If you have 10 DON!! cards on your field, give all of your opponent's Characters −1000 power."
OP01,OP01-093,Ulti,character,onPlay,rest+donFromDeck,,,yes,[On Play] ① (You may rest the specified number of DON!! cards in your cost area.): Add up to 1 DON!! card from your DON!! deck and rest it.
OP01,OP01-094,Kaido,character,onPlay,ko,,yes,yes,"[On Play] DON!! −6 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Animal Kingdom Pirates} type, K.O. all Characters other than this Character."
